countries,govt_debt,population,gdp,index_number,inflation_rate,billionaires_amt,democracy_index,size,gdp_per_capita,hdi
Slovenia,74.46833,2.109,93.708,70,1.9,0,7.54,20136.4,29338.09,0.918
Spain,118.386,47.331,2007.19,71,3,27,7.94,499556.66,30563.55,0.905
Sweden,36.26391,10.452,631.961,72,2.7,45,9.26,407283.53,61203.12,0.947
Switzerland,41.48298,8.67,686.21,73,0.6,41,8.9,39516.03,93700.47,0.962
Taiwan Province of China,30.13605,23.375,1471.818,74,2,51,8.99,36197,33186.34,0.926
Tajikistan,42.45314,9.657,42.067,75,9,0,1.94,138790,925.135,0.685
Tanzania,42.09945,59.73,186.352,76,3.7,1,5.1,885800,1170.909,0.549
Thailand,52.84452,69.951,1349.714,77,1.2,28,6.04,510890,7227.476,0.8
Turkmenistan,10.08348,6.152,109.193,78,19.5,0,1.66,469930,10463.06,0.745
"Türkiye, Republic of",41.80344,84.68,2968.931,79,19.6,24,4.35,769630,9663.877,0.838
Ukraine,48.84141,40.998,591.509,80,9.4,7,5.57,579400,4874.309,0.773
United Arab Emirates,35.89874,9.558,723.666,81,-0.1,4,2.9,71020,43438.52,0.911
United Kingdom,105.9268,67.28,3336.466,82,2.6,50,8.1,241930,46421.61,0.929
Uzbekistan,35.385,34.559,300.53,84,10.8,0,2.12,440650,2013.971,0.727
Vietnam,39.30968,98.506,1143.074,86,1.8,7,2.94,313429,3753.428,0.703
Yemen,85.08302,32.641,62.444,87,31.5,0,1.95,527970,590.136,0.455
